Region,Country,Year,Rate,Visitors
East Asia,China,2022,0.134584244,68319
East Asia,Hong Kong,2022,0.006946004,3526
East Asia,South Korea,2022,0.071987471,36543
East Asia,Taiwan,2022,0.021017276,"10,669"
Europe & Americas & Australia & Middle East,Australia,2022,0.01029687,5227
Europe & Americas & Australia & Middle East,Canada,2022,0.006944034,3525
Europe & Americas & Australia & Middle East,France,2022,0.015257176,7745
Europe & Americas & Australia & Middle East,Germany,2022,0.014004294,7109
Europe & Americas & Australia & Middle East,Italy,2022,0.006693852,3398
Europe & Americas & Australia & Middle East,Mexico,2022,0.001991608,1011
Europe & Americas & Australia & Middle East,Middle East,2022,0.004654965,2363
Europe & Americas & Australia & Middle East,Russia,2022,0.005015464,2546
Europe & Americas & Australia & Middle East,Spain,2022,0.00416839,2116
Europe & Americas & Australia & Middle East,United Kingdom,2022,0.013742293,6976
Europe & Americas & Australia & Middle East,United States,2022,0.056306759,28583
Southeast Asia & India,India,2022,0.034672892,17601
Southeast Asia & India,Indonesia,2022,0.066851841,33936
Southeast Asia & India,Malaysia,2022,0.009345389,4744
Southeast Asia & India,Philippines,2022,0.053649312,27234
Southeast Asia & India,Singapore,2022,0.007194216,3652
Southeast Asia & India,Thailand,2022,0.022293797,11317
Southeast Asia & India,Vietnam,2022,0.206567776,104860
